1027;Rio de Janeiro;Rio de Janeiro;RJ
1029;João Pessoa;Paraíba;PB
1032;Cametá;Pará;PA
1034;Rolândia;Paraná;PR
1036;Florianópolis;Santa Catarina;SC
1039;Vitória;Espírito Santo;ES
1041;Petrolina;Pernambuco;PE
1045;Brasília;Distrito Federal;DF
1050;Recife;Pernambuco;PE
1051;Ji-Paraná;Rondônia;RO
1052;Rio de Janeiro;Rio de Janeiro;RJ
1053;Belo Horizonte;Minas Gerais;MG
1057;Porto Alegre;Rio Grande do Sul;RS
1058;Rio de Janeiro;Rio de Janeiro;RJ
1066;Sao Paulo;São Paulo;SP
1074;TAGUATINGA;Distrito Federal;DF
1078;Pouso Alegre;Minas Gerais;MG
1081;Rio de Janeiro;Rio de Janeiro;RJ
1085;Maringá;Paraná;PR
1087;Santa Maria;Rio Grande do Sul;RS
1089;Fortaleza;Ceará;CE
1093;Santa Vitória;Minas Gerais;MG
1095;Rio de Janeiro;Rio de Janeiro;RJ
1096;Limoeiro do Norte;Ceará;CE
1097;Natal;Rio Grande do Norte;RN
1098;Belo Horizonte;Minas Gerais;MG
1107;Brasília;Distrito Federal;DF
1109;Itajaí;Santa Catarina;SC
1111;Rondonópolis;Mato Grosso;MT
1119;João Pessoa;Paraíba;PB
1122;Recife;Pernambuco;PE
1128;Porto Alegre;Rio Grande do Sul;RS
1131;Porto Alegre;Rio Grande do Sul;RS
1137;São Paulo;São Paulo;SP
1140;Rio de Janeiro;Rio de Janeiro;RJ
1141;Casimiro de Abreu;Rio de Janeiro;RJ
1144;São Paulo;São Paulo;SP
1145;Rio de Janeiro;Rio de Janeiro;RJ
1147;SANTA MARIA;Distrito Federal;DF
1148;Belo Horizonte;Minas Gerais;MG
1153;Rio de Janeiro;Rio de Janeiro;RJ
1155;Barueri;São Paulo;SP
1160;Cabedelo;Paraíba;PB
1163;Rio de Janeiro;Rio de Janeiro;RJ
1170;Niterói;Rio de Janeiro;RJ
1171;Salvador;Bahia;BA
1176;GUARÁ;Distrito Federal;DF
1179;Porto Alegre;Rio Grande do Sul;RS
1180;Fortaleza;Ceará;CE
1187;Itabuna;Bahia;BA
1191;Rio Branco;Acre;AC
1192;Caxias;Rio Grande do Sul;RS
1196;Porto Alegre;Rio Grande do Sul;RS
1197;Fortaleza;Ceará;CE
1205;Brasília;Distrito Federal;DF
1206;Paula Freitas;Paraná;PR
1207;Brasília;Distrito Federal;DF
1214;Belo Horizonte;Minas Gerais;MG
1228;Mossoró;Rio Grande do Norte;RN
1234;Belo Horizonte;Minas Gerais;MG
1238;Brasilia;Distrito Federal;DF
1247;Recife;Pernambuco;PE
1248;Araripe;Ceará;CE
1250;Manaus;Amazonas;AM
1252;Vargem Grande;São Paulo;SP
1256;Porto Alegre;Rio Grande do Sul;RS
1259;Fortaleza;Ceará;CE
1260;Parintins;Amazonas;AM
1261;Fortaleza;Ceará;CE
1263;Porto Alegre;Rio Grande do Sul;RS
1265;Rio de Janeiro;Rio de Janeiro;RJ
1266;São Paulo;São Paulo;SP
1273;Goiânia;Goiás;GO
1277;Manaus;Amazonas;AM
1288;Porto Alegre;Rio Grande do Sul;RS
1291;Brasília;Distrito Federal;DF
1305;Curitiba;Paraná;PR
1306;Sao Paulo;São Paulo;SP
1311;Sapucaia do Sul;Rio Grande do Sul;RS
1313;Teresina;Piauí;PI
1321;TAGUATINGA;Distrito Federal;DF
1322;Sousa;Paraíba;PB
1330;Taguatinga Norte;Distrito Federal;DF
1331;Brasília;Distrito Federal;DF
1341;Salvador;Bahia;BA
1346;Rio de JAneiro;Rio de Janeiro;RJ
1350;Natal;Rio Grande do Norte;RN
1359;Recife;Pernambuco;PE
1361;Paranaíba;Mato Grosso do Sul;MS
1363;São Paulo;São Paulo;SP
1364;Rio de Janeiro;Rio de Janeiro;RJ
1368;Taboão da Serra;São Paulo;SP
1370;São Paulo;São Paulo;SP
1375;Rio de Janeiro;Rio de Janeiro;RJ
1383;Paulista;Pernambuco;PE
1387;Recife;Pernambuco;PE
1390;Joinville;Santa Catarina;SC
1395;Belo Horizonte;Minas Gerais;MG
1396;Recife;Pernambuco;PE
1399;Santa Mariana;Paraná;PR
1403;Varginha;Minas Gerais;MG
1405;Recife;Pernambuco;PE
1406;Brasília;Distrito Federal;DF
1407;Rio de Janeiro;Rio de Janeiro;RJ
1409;Maceió;Alagoas;AL
1410;Rio de Janeiro;Rio de Janeiro;RJ
1411;Recife;Pernambuco;PE
1417;Recife;Pernambuco;PE
1419;Salvador;Bahia;BA
1423;Ladário;Mato Grosso do Sul;MS
1428;Viamão;Rio Grande do Sul;RS
1434;Rio de Janeiro; Rio de Janeiro;RJ
1435;Belo Horizonte;Minas Gerais;MG
1437;Goiânia;Goiás;GO
1438;Brasília;Distrito Federal;DF
1447;São Paulo;São Paulo;SP
1449;Joao Pessoa;Paraíba;PB
1450;Piratini;Rio Grande do Sul;RS
1452;Salvador;Bahia;BA
1454;Brasília;Distrito Federal;DF
1458;Serra;Espírito Santo;ES
1459;Brasília;Distrito Federal;DF
